smiles,e_t
Cc1c(Cl)cccc1NC(=O)N1CCOC[C@H](O)C1,74.27469917212147
CCC1(S(=O)(=O)NC(=O)c2ccn(C)c2)CC1,74.63970484153833
CCCCc1nc(CN2C[C@H](N)[C@H](C3CC3)C2)c[nH]1,79.12004062277265
OCc1cscc1Br,68.71824303548783
CC(C)Oc1ccc(S(=O)(=O)NC2(C#N)CC2)cc1,77.18870939034969
O=C1C[C@@H]2NCC[C@@H]2N1CCc1nc2c(s1)CCC2,63.41151826560963
O=C(NN1C(=O)CSC1=S)c1c(F)cccc1F,58.580566075630486
CO[C@H](C)CS(=O)(=O)Nc1cccc(O)c1Br,66.15053262887523
c1ccc2c(c1)OCCOCCNCCOCCO2,73.96224007080309
O=C1/C(=C\c2ccncc2)N2CCC1CC2,38.29754758562194
O=C(c1ncc[nH]1)N(CCO)Cc1ccc(F)cc1,74.94183683418669
NC1(CNC(=O)N2CCOCC2)CCCCCC1,94.65521420934238
Cn1ncnc1CN[C@@H]1CSCCc2ccccc21,79.52604501799215
Cc1nnc(CN2CCCN(C3CCCC3)CC2)o1,83.5869634707924
CCOC(=O)Cn1c(=O)[nH]c2cc(Br)cnc21,70.78851071884856
COc1ccc(Cl)cc1-n1nnc(C(N)=O)c1C,75.08767323149368
Cc1nn(CCC(=O)NCCCO)c(C)c1Br,82.6229217783548
O=C1CCCCCCCC[C@@H]1O,79.38178136467468
CSc1cccc(CN2CCOC[C@H](O)C2)c1,74.37418536364567
O=C(/C=C/c1cccs1)N[C@@H]1CC(=O)N(C2CC2)C1,47.92764829751104
O=S(=O)(c1ccc(Cl)cc1Cl)N1C[C@H]2[C@@H](O)C[C@H]2C1,73.68630246422254
O=C(NC(=S)Nc1ccc([N+](=O)[O-])cc1)C1CC1,59.32548496813979
O=C(CSc1ccc([N+](=O)[O-])cc1)/N=C1\NCCS1,64.58036879147403
O=C1Nc2ccc(Cl)cc2C(=O)N2CCC[C@H]12,78.39266468479764
